Conc.,Data,,,,,,,Gan.,Prêmio,Apostas
2782,03/10/2024,06,11,16,25,28,45,0,,"10,862,996"
Conc.,Data,,,,,,,Gan.,Prêmio,Apostas
Conc.,Data,,,,,,,Gan.,Prêmio,Apostas
2690,20/02/2024,09,28,33,43,45,55,0,,"14,681,093"
Conc.,Data,,,,,,,Gan.,Prêmio,Apostas
Conc.,Data,,,,,,,Gan.,Prêmio,Apostas
2596,27/05/2023,34,35,39,47,51,56,0,,"15,872,374"
Conc.,Data,,,,,,,Gan.,Prêmio,Apostas
Conc.,Data,,,,,,,Gan.,Prêmio,Apostas
2502,20/07/2022,16,20,21,39,44,55,0,,"9,099,394"
Conc.,Data,,,,,,,Gan.,Prêmio,Apostas
Conc.,Data,,,,,,,Gan.,Prêmio,Apostas
2408,11/09/2021,04,29,30,38,43,57,1,"46,317,095.04","14,862,013"
Conc.,Data,,,,,,,Gan.,Prêmio,Apostas
Conc.,Data,,,,,,,Gan.,Prêmio,Apostas
2314,31/10/2020,06,07,28,42,45,49,1,"53,047,796.53","16,662,267"
Conc.,Data,,,,,,,Gan.,Prêmio,Apostas
Conc.,Data,,,,,,,Gan.,Prêmio,Apostas
2220,31/12/2019,03,35,38,40,57,58,4,"76,053,459.66","228,640,467"
Conc.,Data,,,,,,,Gan.,Prêmio,Apostas
Conc.,Data,,,,,,,Gan.,Prêmio,Apostas
2126,20/02/2019,07,12,24,27,39,58,0,,
Conc.,Data,,,,,,,Gan.,Prêmio,Apostas
Conc.,Data,,,,,,,Gan.,Prêmio,Apostas
2032,17/04/2018,06,14,19,20,39,53,0,,
Conc.,Data,,,,,,,Gan.,Prêmio,Apostas
Conc.,Data,,,,,,,Gan.,Prêmio,Apostas
1938,10/06/2017,10,16,32,40,42,54,0,,
Conc.,Data,,,,,,,Gan.,Prêmio,Apostas
Conc.,Data,,,,,,,Gan.,Prêmio,Apostas
1844,06/08/2016,03,04,37,39,48,50,0,,
Conc.,Data,,,,,,,Gan.,Prêmio,Apostas
Conc.,Data,,,,,,,Gan.,Prêmio,Apostas
1750,13/10/2015,15,17,20,31,41,48,0,,
Conc.,Data,,,,,,,Gan.,Prêmio,Apostas
Conc.,Data,,,,,,,Gan.,Prêmio,Apostas
1656,26/11/2014,04,06,11,43,54,56,0,,
Conc.,Data,,,,,,,Gan.,Prêmio,Apostas
Conc.,Data,,,,,,,Gan.,Prêmio,Apostas
1562,04/01/2014,10,12,23,37,47,51,0,,
Conc.,Data,,,,,,,Gan.,Prêmio,Apostas
Conc.,Data,,,,,,,Gan.,Prêmio,Apostas
1468,13/02/2013,01,02,10,19,20,37,1,"1,542,491.77",
Conc.,Data,,,,,,,Gan.,Prêmio,Apostas
Conc.,Data,,,,,,,Gan.,Prêmio,Apostas
1374,24/03/2012,06,21,28,31,33,43,0,,
Conc.,Data,,,,,,,Gan.,Prêmio,Apostas
Conc.,Data,,,,,,,Gan.,Prêmio,Apostas
1280,04/05/2011,06,10,16,20,29,54,0,,
Conc.,Data,,,,,,,Gan.,Prêmio,Apostas
Conc.,Data,,,,,,,Gan.,Prêmio,Apostas
1186,09/06/2010,07,08,12,13,15,41,1,"21,726,964.78",
Conc.,Data,,,,,,,Gan.,Prêmio,Apostas
Conc.,Data,,,,,,,Gan.,Prêmio,Apostas
1092,18/07/2009,01,09,30,33,34,40,0,,
Conc.,Data,,,,,,,Gan.,Prêmio,Apostas
Conc.,Data,,,,,,,Gan.,Prêmio,Apostas
998,23/08/2008,03,04,21,22,28,32,0,,
Conc.,Data,,,,,,,Gan.,Prêmio,Apostas
Conc.,Data,,,,,,,Gan.,Prêmio,Apostas
904,22/09/2007,32,44,48,51,53,59,0,,
Conc.,Data,,,,,,,Gan.,Prêmio,Apostas
Conc.,Data,,,,,,,Gan.,Prêmio,Apostas
810,25/10/2006,01,04,05,33,37,48,0,,
Conc.,Data,,,,,,,Gan.,Prêmio,Apostas
Conc.,Data,,,,,,,Gan.,Prêmio,Apostas
716,23/11/2005,02,07,16,29,32,50,1,"945,382.75",
Conc.,Data,,,,,,,Gan.,Prêmio,Apostas
Conc.,Data,,,,,,,Gan.,Prêmio,Apostas
622,08/12/2004,19,27,29,38,50,59,0,,
Conc.,Data,,,,,,,Gan.,Prêmio,Apostas
Conc.,Data,,,,,,,Gan.,Prêmio,Apostas
528,10/01/2004,08,12,28,31,34,37,0,,
Conc.,Data,,,,,,,Gan.,Prêmio,Apostas
Conc.,Data,,,,,,,Gan.,Prêmio,Apostas
434,01/02/2003,04,10,17,24,30,54,0,,
Conc.,Data,,,,,,,Gan.,Prêmio,Apostas
Conc.,Data,,,,,,,Gan.,Prêmio,Apostas
340,27/02/2002,09,10,12,33,42,60,0,,
Conc.,Data,,,,,,,Gan.,Prêmio,Apostas
Conc.,Data,,,,,,,Gan.,Prêmio,Apostas
246,18/11/2000,02,16,32,37,43,57,0,,
Conc.,Data,,,,,,,Gan.,Prêmio,Apostas
Conc.,Data,,,,,,,Gan.,Prêmio,Apostas
152,30/01/1999,05,12,15,29,51,58,0,,
Conc.,Data,,,,,,,Gan.,Prêmio,Apostas
Conc.,Data,,,,,,,Gan.,Prêmio,Apostas
58,13/04/1997,12,27,30,37,44,49,1,"3,631,304.91",
Conc.,Data,,,,,,,Gan.,Prêmio,Apostas
